"N","Mean","bias","mse","prob","cover","model"
50,-0.0207590248704053,-0.0207590248704053,0.0197812058970875,0.008,0.986,"BHM"
100,-0.0272314414154939,-0.0272314414154939,0.0103418098186445,0.008,0.99,"BHM"
150,-0.0246421540875517,-0.0246421540875517,0.00850808523588964,0.022,0.974,"BHM"
200,-0.0279474685999004,-0.0279474685999004,0.00718981560368743,0.024,0.972,"BHM"
250,-0.0225974001985961,-0.0225974001985961,0.00585740492638309,0.018,0.97,"BHM"
300,-0.0266556078224202,-0.0266556078224202,0.00474424533618476,0.024,0.974,"BHM"
350,-0.0154926507740339,-0.0154926507740339,0.00419905173681181,0.012,0.982,"BHM"
400,-0.0208614096457499,-0.0208614096457499,0.0042355812922999,0.032,0.962,"BHM"
450,-0.0207146533083409,-0.0207146533083409,0.00398433426130215,0.034,0.96,"BHM"
500,-0.0175459682899655,-0.0175459682899655,0.00348947199828092,0.022,0.972,"BHM"
