"simulation","model","N","percentage"
"1","1","50",0.98763589381094
"2","1","50",NA
"3","1","50",NA
"4","1","50",NA
"5","1","50",NA
"6","1","50",NA
"7","1","50",NA
"8","1","50",NA
"9","1","50",NA
"10","1","50",NA
"11","1","50",NA
"12","1","50",NA
"13","1","50",NA
"14","1","50",NA
"15","1","50",NA
"16","1","50",NA
"17","1","50",NA
"18","1","50",NA
"19","1","50",NA
"20","1","50",NA
"21","1","50",NA
"22","1","50",NA
"23","1","50",NA
"24","1","50",NA
"25","1","50",NA
"26","1","50",NA
"27","1","50",NA
"28","1","50",NA
"29","1","50",NA
"30","1","50",NA
"31","1","50",NA
"32","1","50",NA
"33","1","50",NA
"34","1","50",NA
"35","1","50",NA
"36","1","50",NA
"37","1","50",NA
"38","1","50",NA
"39","1","50",NA
"40","1","50",NA
"41","1","50",NA
"42","1","50",NA
"43","1","50",NA
"44","1","50",NA
"45","1","50",NA
"46","1","50",NA
"47","1","50",NA
"48","1","50",NA
"49","1","50",NA
"50","1","50",NA
"51","1","50",NA
"52","1","50",NA
"53","1","50",NA
"54","1","50",NA
"55","1","50",NA
"56","1","50",NA
"57","1","50",NA
"58","1","50",NA
"59","1","50",NA
"60","1","50",NA
"61","1","50",NA
"62","1","50",NA
"63","1","50",NA
"64","1","50",NA
"65","1","50",NA
"66","1","50",NA
"67","1","50",NA
"68","1","50",NA
"69","1","50",NA
"70","1","50",NA
"71","1","50",NA
"72","1","50",NA
"73","1","50",NA
"74","1","50",NA
"75","1","50",NA
"76","1","50",NA
"77","1","50",NA
"78","1","50",NA
"79","1","50",NA
"80","1","50",NA
"81","1","50",NA
"82","1","50",NA
"83","1","50",NA
"84","1","50",NA
"85","1","50",NA
"86","1","50",NA
"87","1","50",NA
"88","1","50",NA
"89","1","50",NA
"90","1","50",NA
"91","1","50",NA
"92","1","50",NA
"93","1","50",NA
"94","1","50",NA
"95","1","50",NA
"96","1","50",NA
"97","1","50",NA
"98","1","50",NA
"99","1","50",NA
"100","1","50",NA
"101","1","50",NA
"102","1","50",NA
"103","1","50",NA
"104","1","50",NA
"105","1","50",NA
"106","1","50",NA
"107","1","50",NA
"108","1","50",NA
"109","1","50",NA
"110","1","50",NA
"111","1","50",NA
"112","1","50",NA
"113","1","50",NA
"114","1","50",NA
