"simulation","cohort","N","Prob","ind"
"1","1","50",0.99999391532421,1
"2","1","50",NA,NA
"3","1","50",NA,NA
"4","1","50",NA,NA
"5","1","50",NA,NA
"6","1","50",NA,NA
"7","1","50",NA,NA
"8","1","50",NA,NA
"9","1","50",NA,NA
"10","1","50",NA,NA
"11","1","50",NA,NA
"12","1","50",NA,NA
"13","1","50",NA,NA
"14","1","50",NA,NA
"15","1","50",NA,NA
"16","1","50",NA,NA
"17","1","50",NA,NA
"18","1","50",NA,NA
"19","1","50",NA,NA
"20","1","50",NA,NA
"21","1","50",NA,NA
"22","1","50",NA,NA
"23","1","50",NA,NA
"24","1","50",NA,NA
"25","1","50",NA,NA
"26","1","50",NA,NA
"27","1","50",NA,NA
"28","1","50",NA,NA
"29","1","50",NA,NA
"30","1","50",NA,NA
"31","1","50",NA,NA
"32","1","50",NA,NA
"33","1","50",NA,NA
"34","1","50",NA,NA
"35","1","50",NA,NA
"36","1","50",NA,NA
"37","1","50",NA,NA
"38","1","50",NA,NA
"39","1","50",NA,NA
"40","1","50",NA,NA
"41","1","50",NA,NA
"42","1","50",NA,NA
"43","1","50",NA,NA
"44","1","50",NA,NA
"45","1","50",NA,NA
"46","1","50",NA,NA
"47","1","50",NA,NA
"48","1","50",NA,NA
"49","1","50",NA,NA
"50","1","50",NA,NA
"51","1","50",NA,NA
"52","1","50",NA,NA
"53","1","50",NA,NA
"54","1","50",NA,NA
"55","1","50",NA,NA
"56","1","50",NA,NA
"57","1","50",NA,NA
"58","1","50",NA,NA
"59","1","50",NA,NA
"60","1","50",NA,NA
"61","1","50",NA,NA
"62","1","50",NA,NA
"63","1","50",NA,NA
"64","1","50",NA,NA
"65","1","50",NA,NA
"66","1","50",NA,NA
"67","1","50",NA,NA
"68","1","50",NA,NA
"69","1","50",NA,NA
"70","1","50",NA,NA
"71","1","50",NA,NA
"72","1","50",NA,NA
"73","1","50",NA,NA
"74","1","50",NA,NA
"75","1","50",NA,NA
"76","1","50",NA,NA
"77","1","50",NA,NA
"78","1","50",NA,NA
"79","1","50",NA,NA
"80","1","50",NA,NA
"81","1","50",NA,NA
"82","1","50",NA,NA
"83","1","50",NA,NA
"84","1","50",NA,NA
"85","1","50",NA,NA
"86","1","50",NA,NA
"87","1","50",NA,NA
"88","1","50",NA,NA
"89","1","50",NA,NA
"90","1","50",NA,NA
"91","1","50",NA,NA
"92","1","50",NA,NA
"93","1","50",NA,NA
"94","1","50",NA,NA
"95","1","50",NA,NA
"96","1","50",NA,NA
"97","1","50",NA,NA
"98","1","50",NA,NA
"99","1","50",NA,NA
"100","1","50",NA,NA
"101","1","50",NA,NA
"102","1","50",NA,NA
"103","1","50",NA,NA
"104","1","50",NA,NA
"105","1","50",NA,NA
"106","1","50",NA,NA
"107","1","50",NA,NA
"108","1","50",NA,NA
