"simulation","N","N.1"
"1","50",398.758130584591
"2","50",NA
"3","50",NA
"4","50",NA
"5","50",NA
"6","50",NA
"7","50",NA
"8","50",NA
"9","50",NA
"10","50",NA
"11","50",NA
"12","50",NA
"13","50",NA
"14","50",NA
"15","50",NA
"16","50",NA
"17","50",NA
"18","50",NA
"19","50",NA
"20","50",NA
"21","50",NA
"22","50",NA
"23","50",NA
"24","50",NA
"25","50",NA
"26","50",NA
"27","50",NA
"28","50",NA
"29","50",NA
"30","50",NA
"31","50",NA
"32","50",NA
"33","50",NA
"34","50",NA
"35","50",NA
"36","50",NA
"37","50",NA
"38","50",NA
"39","50",NA
"40","50",NA
"41","50",NA
"42","50",NA
"43","50",NA
"44","50",NA
"45","50",NA
"46","50",NA
"47","50",NA
"48","50",NA
"49","50",NA
"50","50",NA
"51","50",NA
"52","50",NA
"53","50",NA
"54","50",NA
"55","50",NA
"56","50",NA
"57","50",NA
"58","50",NA
"59","50",NA
"60","50",NA
"61","50",NA
"62","50",NA
"63","50",NA
"64","50",NA
"65","50",NA
"66","50",NA
"67","50",NA
"68","50",NA
"69","50",NA
"70","50",NA
"71","50",NA
"72","50",NA
"73","50",NA
"74","50",NA
"75","50",NA
"76","50",NA
"77","50",NA
"78","50",NA
"79","50",NA
"80","50",NA
"81","50",NA
"82","50",NA
"83","50",NA
"84","50",NA
"85","50",NA
"86","50",NA
"87","50",NA
"88","50",NA
"89","50",NA
"90","50",NA
"91","50",NA
"92","50",NA
"93","50",NA
"94","50",NA
"95","50",NA
"96","50",NA
"97","50",NA
"98","50",NA
"99","50",NA
"100","50",NA
"101","50",NA
"102","50",NA
"103","50",NA
"104","50",NA
"105","50",NA
"106","50",NA
"107","50",NA
"108","50",NA
"109","50",NA
"110","50",NA
"111","50",NA
"112","50",NA
"113","50",NA
"114","50",NA
"115","50",NA
"116","50",NA
"117","50",NA
"118","50",NA
"119","50",NA
"120","50",NA
"121","50",NA
"122","50",NA
"123","50",NA
"124","50",NA
"125","50",NA
"126","50",NA
"127","50",NA
"128","50",NA
"129","50",NA
"130","50",NA
"131","50",NA
"132","50",NA
"133","50",NA
"134","50",NA
"135","50",NA
"136","50",NA
"137","50",NA
"138","50",NA
"139","50",NA
"140","50",NA
"141","50",NA
"142","50",NA
"143","50",NA
"144","50",NA
"145","50",NA
"146","50",NA
"147","50",NA
"148","50",NA
"149","50",NA
"150","50",NA
"151","50",NA
"152","50",NA
"153","50",NA
"154","50",NA
"155","50",NA
"156","50",NA
"157","50",NA
"158","50",NA
"159","50",NA
"160","50",NA
"161","50",NA
"162","50",NA
"163","50",NA
"164","50",NA
"165","50",NA
"166","50",NA
"167","50",NA
"168","50",NA
"169","50",NA
"170","50",NA
"171","50",NA
"172","50",NA
"173","50",NA
"174","50",NA
"175","50",NA
"176","50",NA
"177","50",NA
"178","50",NA
"179","50",NA
"180","50",NA
"181","50",NA
"182","50",NA
"183","50",NA
"184","50",NA
"185","50",NA
"186","50",NA
"187","50",NA
"188","50",NA
"189","50",NA
"190","50",NA
"191","50",NA
"192","50",NA
"193","50",NA
"194","50",NA
"195","50",NA
"196","50",NA
"197","50",NA
"198","50",NA
"199","50",NA
"200","50",NA
"201","50",NA
"202","50",NA
"203","50",NA
"204","50",NA
"205","50",NA
"206","50",NA
"207","50",NA
