"N","Mean","bias","mse","prob","cover","model"
50,0.00323623131831608,0.00323623131831608,0.0542876561589847,0.018,0.95,"MCMC-Uniform"
100,-0.0396427275207434,-0.0396427275207434,0.0288594899967264,0.056,0.932,"MCMC-Uniform"
150,-0.0529082112725184,-0.0529082112725184,0.0235329792897111,0.094,0.886,"MCMC-Uniform"
200,-0.0620671865288878,-0.0620671865288878,0.0216691313316353,0.148,0.84,"MCMC-Uniform"
250,-0.0594610258528574,-0.0594610258528574,0.0175746698189273,0.138,0.842,"MCMC-Uniform"
300,-0.0642929078018751,-0.0642929078018751,0.015438429782534,0.174,0.818,"MCMC-Uniform"
350,-0.0454376018825071,-0.0454376018825071,0.0129579277537847,0.132,0.854,"MCMC-Uniform"
400,-0.0504364371904985,-0.0504364371904985,0.0131861300475004,0.158,0.82,"MCMC-Uniform"
450,-0.0471026042350721,-0.0471026042350721,0.0113960666165751,0.156,0.83,"MCMC-Uniform"
500,-0.0382428662682647,-0.0382428662682647,0.0100722726596939,0.136,0.842,"MCMC-Uniform"
