"N","Mean","bias","mse","prob","cover","model"
50,0.00666777889817595,0.00666777889817595,0.0515138148689359,0.01,0.958,"MCMC-Uniform"
100,-0.0300893812190578,-0.0300893812190578,0.0215644032646724,0.044,0.946,"MCMC-Uniform"
150,-0.0399822561147391,-0.0399822561147391,0.0161968306513493,0.062,0.922,"MCMC-Uniform"
200,-0.0498841383118164,-0.0498841383118164,0.014768712757893,0.106,0.88,"MCMC-Uniform"
250,-0.0396397195778875,-0.0396397195778875,0.0103953994111118,0.094,0.896,"MCMC-Uniform"
300,-0.0456988399985981,-0.0456988399985981,0.00910637637759809,0.122,0.868,"MCMC-Uniform"
350,-0.0300345602257492,-0.0300345602257492,0.00733879606056186,0.098,0.882,"MCMC-Uniform"
400,-0.0369321216652409,-0.0369321216652409,0.00714311831847285,0.098,0.888,"MCMC-Uniform"
450,-0.0322424506125873,-0.0322424506125873,0.00613676593066332,0.106,0.884,"MCMC-Uniform"
500,-0.024860438248704,-0.024860438248704,0.00485765171373315,0.076,0.916,"MCMC-Uniform"
