"N","Mean","bias","mse","prob","cover","model"
50,-0.208145765281896,0.0149977860323134,0.0446705488858776,0.15,0.96,"MCMC-Uniform"
100,-0.22194199746173,0.00120155385247928,0.0121617803631647,0.454,0.97,"MCMC-Uniform"
150,-0.221283799571522,0.00185975174268807,0.00725684768030448,0.76,0.972,"MCMC-Uniform"
200,-0.224701913696089,-0.00155836238187926,0.00462790392689908,0.874,0.958,"MCMC-Uniform"
250,-0.22343827234193,-0.000294721027720108,0.0029759919969566,0.966,0.97,"MCMC-Uniform"
300,-0.223466798547799,-0.000323247233589064,0.00235569321439566,0.976,0.952,"MCMC-Uniform"
350,-0.219361800521909,0.00378175079230084,0.00208922515336778,0.998,0.96,"MCMC-Uniform"
400,-0.224474430030298,-0.00133087871608865,0.00170782678552826,1,0.956,"MCMC-Uniform"
450,-0.221284728889423,0.00185882242478685,0.00160662001958631,0.998,0.95,"MCMC-Uniform"
500,-0.224385511310875,-0.00124195999666515,0.00132510066915339,1,0.944,"MCMC-Uniform"
