"N","Mean","bias","mse","prob","cover","model"
50,0.0167682283418771,0.0167682283418771,0.0486326051972994,0.008,0.962,"MCMC-Uniform"
100,0.00464552635499635,0.00464552635499635,0.0134239190314481,0.014,0.974,"MCMC-Uniform"
150,0.00190761492137305,0.00190761492137305,0.0076430512445872,0.016,0.962,"MCMC-Uniform"
200,-0.00125042899659083,-0.00125042899659083,0.00493977776453688,0.026,0.952,"MCMC-Uniform"
250,0.000386391439682499,0.000386391439682499,0.00323026931920992,0.01,0.976,"MCMC-Uniform"
300,-0.000845378570577024,-0.000845378570577024,0.00246932865839517,0.03,0.954,"MCMC-Uniform"
350,0.00476937266256899,0.00476937266256899,0.00214895212552366,0.012,0.96,"MCMC-Uniform"
400,-0.00189495130176709,-0.00189495130176709,0.00183572596773226,0.026,0.958,"MCMC-Uniform"
450,0.00193559292575516,0.00193559292575516,0.00171640883232956,0.032,0.944,"MCMC-Uniform"
500,-0.000919232557059472,-0.000919232557059472,0.00141191476368597,0.024,0.956,"MCMC-Uniform"
