"cohort","N","prior","Mean","Sd","Prob","bias","mse","lcl","ucl"
"1","100","BHM",-0.26480846,0.1254244,0.722,-0.0416649086857903,0.00173596461579525,-0.510640284,-0.018976636
"1","100","CPHM",-0.226107265261252,0.161210225584007,0.294,-0.00296371394704278,8.78360035989592e-06,-0.542079307405907,0.0898647768834019
"1","100","MEMs-Empirical",-0.317509463309224,0.0817370133093321,0.946,-0.0943659119950143,0.00890492534665079,-0.477714009395515,-0.157304917222933
"1","100","MEMs-Exponential",-0.324735615943133,0.0812794751260295,0.968,-0.101592064628923,0.0103209475955673,-0.48404338719015,-0.165427844696115
"1","150","BHM",-0.2553792,0.1075044,0.798,-0.0322356486857903,0.00103913704619369,-0.466087824,-0.044670576
"1","150","CPHM",-0.218808882274784,0.131551214846516,0.388,0.00433466903942581,1.87893556813567e-05,-0.476649263373956,0.0390314988243883
"1","150","MEMs-Empirical",-0.310918354601069,0.067430545716766,0.968,-0.0877748032868595,0.00770441609204689,-0.443082224205931,-0.178754484996208
"1","150","MEMs-Exponential",-0.320575713663938,0.0667520819053431,0.984,-0.0974321623497283,0.00949302626014381,-0.45140979419841,-0.189741633129466
"1","200","BHM",-0.25675074,0.0956096,0.864,-0.0336071886857903,0.00112944313136231,-0.444145556,-0.069355924
"1","200","CPHM",-0.226382520477151,0.113886847528278,0.498,-0.00323896916294136,1.04909212384851e-05,-0.449600741632576,-0.0031642993217266
"1","200","MEMs-Empirical",-0.311499025015792,0.058871829441673,0.986,-0.0883554737015828,0.00780668973303108,-0.426887810721472,-0.196110239310113
"1","200","MEMs-Exponential",-0.322467100349645,0.0580578967808978,0.998,-0.0993235490354356,0.00986516739299457,-0.436260578040205,-0.208673622659086
"1","250","BHM",-0.251208,0.0874684,0.888,-0.0280644486857903,0.000787613280037356,-0.422646064,-0.079769936
"1","250","CPHM",-0.224804429016147,0.101736363761939,0.61,-0.00166087770193685,2.75851474079102e-06,-0.424207701989547,-0.0254011560427461
"1","250","MEMs-Empirical",-0.306422573721739,0.0529047472452871,0.982,-0.083279022407529,0.00693539557315372,-0.410115878322501,-0.202729269120976
"1","250","MEMs-Exponential",-0.316947740239164,0.0521997859900581,0.992,-0.0938041889249542,0.00879922585986851,-0.419259320779678,-0.21463615969865
"1","300","BHM",-0.25286634,0.0808764,0.92,-0.0297227886857903,0.000883444167260145,-0.411384084,-0.094348596
"1","300","CPHM",-0.229458559827469,0.0929552378416391,0.702,-0.00631500851325961,3.98793325225414e-05,-0.411650825997082,-0.0472662936578566
"1","300","MEMs-Empirical",-0.304650801134276,0.0486050846032988,0.99,-0.0815072498200661,0.00664343177323066,-0.399916766956741,-0.20938483531181
"1","300","MEMs-Exponential",-0.315241169186086,0.0478777841643392,0.996,-0.0920976178718759,0.00848197121767407,-0.40908162614819,-0.221400712223981
"1","350","BHM",-0.2406834,0.0770436,0.926,-0.0175398486857903,0.000307646291920419,-0.391688856,-0.089677944
"1","350","CPHM",-0.218117390252568,0.0860350955193083,0.724,0.00502616106164155,2.52622950175618e-05,-0.386746177470413,-0.0494886030347238
"1","350","MEMs-Empirical",-0.294467834491039,0.0456263646772287,0.996,-0.0713242831768296,0.00508715337068858,-0.383895509258408,-0.205040159723671
"1","350","MEMs-Exponential",-0.307478185159198,0.0446980460923611,0.998,-0.0843346338449887,0.00711233046576832,-0.395086355500226,-0.219870014818171
"1","400","BHM",-0.24318434,0.072879,0.936,-0.0200407886857903,0.0004016332111485,-0.38602718,-0.1003415
"1","400","CPHM",-0.222624117724834,0.0804696850341695,0.796,0.00051943358937559,2.69811253771609e-07,-0.380344700391806,-0.0649035350578619
"1","400","MEMs-Empirical",-0.29646447712408,0.0430205043971893,0.988,-0.0733209258098704,0.00537595816161652,-0.380784665742571,-0.212144288505589
"1","400","MEMs-Exponential",-0.311183379223169,0.0419982625031981,0.994,-0.0880398279089594,0.00775101129823918,-0.393499973729437,-0.228866784716901
"1","450","BHM",-0.242213,0.0692776,0.948,-0.0190694486857903,0.000363643873179989,-0.377997096,-0.106428904
"1","450","CPHM",-0.226162446354272,0.0758893201328556,0.838,-0.00301889504006242,9.11372726291348e-06,-0.374905513814669,-0.0774193788938751
"1","450","MEMs-Empirical",-0.290468993039335,0.0410136619805685,0.99,-0.0673254417251257,0.00453271510348329,-0.37085577052125,-0.210082215557421
"1","450","MEMs-Exponential",-0.304212250659067,0.0400416444620111,0.994,-0.0810686993448569,0.00657213401346681,-0.382693873804609,-0.225730627513525
"1","50","BHM",-0.26034716,0.1695516,0.502,-0.0372036086857903,0.00138410849924541,-0.592668296,0.0719739759999999
"1","50","CPHM",-0.203056873232019,0.228460852566167,0.14,0.020086678082191,0.000403474636377573,-0.650840144261707,0.24472639779767
"1","50","MEMs-Empirical",-0.313804242944361,0.115922193293295,0.83,-0.0906606916301518,0.00821936100685747,-0.54101174179922,-0.0865967440895035
"1","50","MEMs-Exponential",-0.325177211086957,0.114930583806005,0.858,-0.102033659772748,0.0104108677266208,-0.550441155346728,-0.0999132668271866
"1","500","BHM",-0.2377104,0.0666216,0.962,-0.0145668486857903,0.00021219308063471,-0.368288736,-0.107132064
"1","500","CPHM",-0.222468996874119,0.0719861151012518,0.856,0.000674554440090847,4.55023692646275e-07,-0.363561782472572,-0.0813762112756652
"1","500","MEMs-Empirical",-0.286743101602537,0.039388248794988,1,-0.063599550288327,0.00404490279687743,-0.363944069240713,-0.20954213396436
"1","500","MEMs-Exponential",-0.302755818093817,0.0382974616765791,1,-0.0796122667796078,0.00633811302178744,-0.377818842979913,-0.227692793207722
