"cohort","N","prior","Mean","Sd","Prob","bias","mse","lcl","ucl"
"1","100","BHM",-0.218928356,0.13054,0.546,0.00421519531420972,1.77678715369356e-05,-0.474786756,0.036930044
"1","100","CPHM",-0.226107265261252,0.161210225584007,0.294,-0.00296371394704278,8.78360035989592e-06,-0.542079307405907,0.0898647768834019
"1","100","MEMs-Empirical",-0.236278066829525,0.0843369500041927,0.77,-0.0131345155153148,0.000172515497822045,-0.401578488837742,-0.0709776448213068
"1","100","MEMs-Exponential",-0.237622126442642,0.0839230660610496,0.78,-0.0144785751284322,0.000209629137749655,-0.402111335922299,-0.0731329169629847
"1","150","BHM",-0.21411984,0.1120724,0.63,0.0090237113142097,8.14273658821962e-05,-0.433781744,0.00554206399999999
"1","150","CPHM",-0.218808882274784,0.131551214846516,0.388,0.00433466903942581,1.87893556813567e-05,-0.476649263373956,0.0390314988243883
"1","150","MEMs-Empirical",-0.228280916079436,0.0702056772762032,0.81,-0.00513736476522605,2.63925167309862e-05,-0.365884043540794,-0.0906777886180775
"1","150","MEMs-Exponential",-0.229754648515434,0.0699379147287369,0.808,-0.00661109720122435,4.37066062040365e-05,-0.366832961383758,-0.0926763356471097
"1","200","BHM",-0.2178484,0.0997346,0.742,0.00529515131420971,2.80386274403768e-05,-0.413328216,-0.022368584
"1","200","CPHM",-0.226382520477151,0.113886847528278,0.498,-0.00323896916294136,1.04909212384851e-05,-0.449600741632576,-0.0031642993217266
"1","200","MEMs-Empirical",-0.229294975456447,0.0617135488525213,0.848,-0.0061514241422371,3.78400189776974e-05,-0.350253531207389,-0.108336419705505
"1","200","MEMs-Exponential",-0.232089915794326,0.0613647498214977,0.854,-0.00894636448011674,8.00374374110944e-05,-0.352364825444462,-0.111815006144191
"1","250","BHM",-0.2162358,0.0909782,0.818,0.0069077513142097,4.77170282189659e-05,-0.394553072,-0.037918528
"1","250","CPHM",-0.224804429016147,0.101736363761939,0.61,-0.00166087770193685,2.75851474079102e-06,-0.424207701989547,-0.0254011560427461
"1","250","MEMs-Empirical",-0.230049334122182,0.0560608691305364,0.892,-0.00690578280797249,4.76898361908885e-05,-0.339928637618033,-0.120170030626331
"1","250","MEMs-Exponential",-0.228811005033025,0.0558253833666483,0.892,-0.00566745371881575,3.21200316549184e-05,-0.338228756431656,-0.119393253634395
"1","300","BHM",-0.22005646,0.0845738,0.866,0.0030870913142097,9.53013278226897e-06,-0.385821108,-0.054291812
"1","300","CPHM",-0.229458559827469,0.0929552378416391,0.702,-0.00631500851325961,3.98793325225414e-05,-0.411650825997082,-0.0472662936578566
"1","300","MEMs-Empirical",-0.226166474201833,0.0518530358287659,0.924,-0.00302292288762368,9.13806278451909e-06,-0.327798424426214,-0.124534523977452
"1","300","MEMs-Exponential",-0.224671939779144,0.0517744088339118,0.916,-0.00152838846493467,2.33597129974534e-06,-0.326149781093612,-0.123194098464677
"1","350","BHM",-0.2105374,0.0794984,0.866,0.0126061513142097,0.000158915050956751,-0.366354264,-0.054720536
"1","350","CPHM",-0.218117390252568,0.0860350955193083,0.724,0.00502616106164155,2.52622950175618e-05,-0.386746177470413,-0.0494886030347238
"1","350","MEMs-Empirical",-0.209342981410501,0.0489575063251922,0.914,0.0138005699037084,0.000190455729667142,-0.305299693807878,-0.113386269013125
"1","350","MEMs-Exponential",-0.21114753515092,0.0486480290372898,0.916,0.0119960161632902,0.000143904403789919,-0.306497672064008,-0.115797398237832
"1","400","BHM",-0.21413348,0.075127,0.882,0.00901007131420972,8.11813850871449e-05,-0.3613824,-0.06688456
"1","400","CPHM",-0.222624117724834,0.0804696850341695,0.796,0.00051943358937559,2.69811253771609e-07,-0.380344700391806,-0.0649035350578619
"1","400","MEMs-Empirical",-0.213906141179745,0.0462253433528002,0.948,0.00923741013446439,8.53297459923053e-05,-0.304507814151234,-0.123304468208257
"1","400","MEMs-Exponential",-0.215182450544781,0.0460609514971216,0.944,0.00796110076942852,6.33791254609954e-05,-0.30546191547914,-0.124902985610423
"1","450","BHM",-0.2164854,0.0715666,0.93,0.00665815131420971,4.43309789229126e-05,-0.356755936,-0.076214864
"1","450","CPHM",-0.226162446354272,0.0758893201328556,0.838,-0.00301889504006242,9.11372726291348e-06,-0.374905513814669,-0.0774193788938751
"1","450","MEMs-Empirical",-0.215276949679731,0.0444235439740865,0.952,0.00786660163447839,6.1883421275578e-05,-0.302347095868941,-0.128206803490522
"1","450","MEMs-Exponential",-0.214024339888091,0.0440100697483309,0.958,0.00911921142611885,8.31600170342566e-05,-0.300284076594819,-0.127764603181362
"1","50","BHM",-0.20968458,0.17329,0.33,0.0134589713142097,0.00018114390883672,-0.54933298,0.12996382
"1","50","CPHM",-0.203056873232019,0.228460852566167,0.14,0.020086678082191,0.000403474636377573,-0.650840144261707,0.24472639779767
"1","50","MEMs-Empirical",-0.236388925660205,0.117847558948834,0.614,-0.0132453743459952,0.000175439941565549,-0.467370141199919,-0.00540771012049066
"1","50","MEMs-Exponential",-0.239760682240118,0.117068391695654,0.612,-0.0166171309259079,0.000276129040208763,-0.469214729963599,-0.010306634516636
"1","500","BHM",-0.2133914,0.0682184,0.936,0.0097521513142097,9.5104455255242e-05,-0.347099464,-0.079683336
"1","500","CPHM",-0.222468996874119,0.0719861151012518,0.856,0.000674554440090847,4.55023692646275e-07,-0.363561782472572,-0.0813762112756652
"1","500","MEMs-Empirical",-0.208051317468087,0.0425955226867123,0.972,0.015092233846123,0.000227775522466059,-0.291538541934043,-0.124564093002131
"1","500","MEMs-Exponential",-0.207080995253971,0.0422261957705186,0.974,0.0160625560602385,0.000258005707188304,-0.289844338964188,-0.124317651543755
