"cohort","N","prior","Mean","Sd","Prob","bias","mse","lcl","ucl"
"1","100","BHM",-0.026189914,0.1248498,0.024,-0.026189914,0.000685911595327396,-0.270895522,0.218515694
"1","100","CPHM",0.000688488216263725,0.164900917937525,0.036,0.000688488216263725,4.74016023934006e-07,-0.322517310941285,0.323894287373812
"1","100","MEMs-Empirical",-0.0450828292551029,0.0831612183223987,0.122,-0.0450828292551029,0.00203246149364476,-0.208078817167004,0.117913158656799
"1","100","MEMs-Exponential",-0.0491844159996218,0.0829829509590022,0.122,-0.0491844159996218,0.00241910677722385,-0.211830999879266,0.113462167880023
"1","150","BHM",-0.02398426,0.105201,0.04,-0.02398426,0.0005752447277476,-0.23017822,0.1822097
"1","150","CPHM",0.00470446882886155,0.134521250526195,0.05,0.00470446882886155,2.213202696173e-05,-0.258957182202481,0.268366119860204
"1","150","MEMs-Empirical",-0.0464575364873098,0.0680735767149283,0.188,-0.0464575364873098,0.00215830269646972,-0.179881746848569,0.0869666738739497
"1","150","MEMs-Exponential",-0.050473476633246,0.0678193429326064,0.184,-0.050473476633246,0.00254757184344683,-0.183399388781155,0.0824524355146627
"1","200","BHM",-0.02736204,0.0938294,0.062,-0.02736204,0.0007486812329616,-0.211267664,0.156543584
"1","200","CPHM",-0.00171317634349545,0.116486351266458,0.042,-0.00171317634349545,2.93497318391244e-06,-0.230026424825754,0.226600072138763
"1","200","MEMs-Empirical",-0.0479293601488223,0.0592528597487827,0.234,-0.0479293601488223,0.00229722356427551,-0.164064965256436,0.0682062449587918
"1","200","MEMs-Exponential",-0.0514723611938266,0.0589974048449134,0.216,-0.0514723611938266,0.00264940396686774,-0.167107274689857,0.0641625523022038
"1","250","BHM",-0.022379438,0.0853326,0.038,-0.022379438,0.000500839245195844,-0.189631334,0.144872458
"1","250","CPHM",-6.77146423063481e-06,0.104024228911399,0.048,-6.77146423063481e-06,4.58527278267667e-11,-0.203894260130573,0.203880717202111
"1","250","MEMs-Empirical",-0.0415700122697741,0.0533070798094276,0.23,-0.0415700122697741,0.00172806592010917,-0.146051888696252,0.062911864156704
"1","250","MEMs-Exponential",-0.0453508554448337,0.0530196323139884,0.228,-0.0453508554448337,0.0020567000895782,-0.149269334780251,0.0585676238905835
"1","300","BHM",-0.026382469848,0.07851,0.052,-0.026382469848,0.000696034715280629,-0.180262069848,0.127497130152
"1","300","CPHM",-0.00663817636471456,0.0950337359539851,0.044,-0.00663817636471456,4.40653854490551e-05,-0.192904298834525,0.179627946105096
"1","300","MEMs-Empirical",-0.04549032535863,0.0485384149679209,0.272,-0.04549032535863,0.00206936970123402,-0.140625618695755,0.0496449679784949
"1","300","MEMs-Exponential",-0.0485201614264962,0.0483286092255179,0.262,-0.0485201614264962,0.00235420606485325,-0.143244235508511,0.0462039126555189
"1","350","BHM",-0.015336166,0.0742282,0.042,-0.015336166,0.000235197987579556,-0.160823438,0.130151106
"1","350","CPHM",0.00639287404980128,0.088008869216759,0.042,0.00639287404980128,4.08688386166226e-05,-0.166104509615046,0.178890257714649
"1","350","MEMs-Empirical",-0.0344729594224373,0.0454115596017957,0.242,-0.0344729594224373,0.00118838493134101,-0.123479616241957,0.0545336973970823
"1","350","MEMs-Exponential",-0.0396950035657628,0.0451074647014604,0.232,-0.0396950035657628,0.00157569330808592,-0.128105634380625,0.0487156272490995
"1","400","BHM",-0.02082967,0.0703614,0.056,-0.02082967,0.0004338751523089,-0.158738014,0.117078674
"1","400","CPHM",-0.000385792974979978,0.0822644051650496,0.056,-0.000385792974979978,1.48836219543902e-07,-0.161624027098477,0.160852441148517
"1","400","MEMs-Empirical",-0.041017361000366,0.0425368887065638,0.27,-0.041017361000366,0.00168242390343435,-0.124389662865231,0.042354940864499
"1","400","MEMs-Exponential",-0.0457121544675147,0.0422422319654131,0.262,-0.0457121544675147,0.00208960106606193,-0.128506929119724,0.037082620184695
"1","450","BHM",-0.020549822,0.0670714,0.072,-0.020549822,0.000422295184231684,-0.152009766,0.110910122
"1","450","CPHM",-0.00310663437873063,0.0775914979078376,0.06,-0.00310663437873063,9.65117716311104e-06,-0.155185970278092,0.148972701520631
"1","450","MEMs-Empirical",-0.0366202445504577,0.0402237519306801,0.268,-0.0366202445504577,0.00134104231093533,-0.115458798334591,0.0422183092336752
"1","450","MEMs-Exponential",-0.0406055089396766,0.0399780687581461,0.262,-0.0406055089396766,0.00164880735625016,-0.118962523705643,0.0377515058262897
"1","50","BHM",-0.019505404,0.1708496,0.014,-0.019505404,0.000380460785203216,-0.35437062,0.315359812
"1","50","CPHM",0.019684821581462,0.233740843802156,0.042,0.019684821581462,0.000387492200693991,-0.438447232270763,0.477816875433687
"1","50","MEMs-Empirical",-0.042829659698546,0.11799450855907,0.116,-0.042829659698546,0.00183437974989325,-0.274098896474323,0.188439577077231
"1","50","MEMs-Exponential",-0.0497819626881629,0.117447079575852,0.122,-0.0497819626881629,0.00247824380908564,-0.279978238656833,0.180414313280507
"1","500","BHM",-0.017420468,0.0646182,0.046,-0.017420468,0.000303472705339024,-0.14407214,0.109231204
"1","500","CPHM",0.000809878697293737,0.0736174085885951,0.054,0.000809878697293737,6.559035043302e-07,-0.143480242136353,0.14509999953094
"1","500","MEMs-Empirical",-0.0349797594082529,0.0385583237191591,0.278,-0.0349797594082529,0.00122358356825926,-0.110554073897805,0.040594555081299
"1","500","MEMs-Exponential",-0.0407455400702499,0.0382097727864201,0.272,-0.0407455400702499,0.00166019903561634,-0.115636694731633,0.0341456145911334
