"N","Mean","bias","mse","prob","cover","model"
50,-0.24063938446388,-0.0174958331496698,0.000306104177601086,0.388,0.908,"Laplace-Empirical"
100,-0.234694410535624,-0.0115508592214147,0.000133422348752942,0.598,0.874,"Laplace-Empirical"
150,-0.243247922473684,-0.0201043711594746,0.000404185739717913,0.662,0.82,"Laplace-Empirical"
200,-0.224719038722039,-0.00157548740782973,2.48216057223004e-06,0.69,0.802,"Laplace-Empirical"
250,-0.230195708673765,-0.00705215735955544,4.9732923423932e-05,0.756,0.762,"Laplace-Empirical"
300,-0.231611755972606,-0.00846820465839612,7.17104901364818e-05,0.796,0.774,"Laplace-Empirical"
350,-0.215645573327453,0.00749797798675689,5.62196738898909e-05,0.816,0.738,"Laplace-Empirical"
400,-0.220369514690841,0.00277403662336836,7.69527918778896e-06,0.838,0.748,"Laplace-Empirical"
450,-0.220668550047409,0.00247500126680059,6.12563127066451e-06,0.894,0.742,"Laplace-Empirical"
500,-0.214057182883812,0.00908636843039759,8.2562091252926e-05,0.916,0.736,"Laplace-Empirical"
