"N","Mean","bias","mse","prob","cover","model"
50,-0.242220930288961,-0.242220930288961,0.0586709790700497,0.416,0.576,"Laplace-Empirical"
100,-0.228050098925324,-0.228050098925324,0.0520068476198502,0.55,0.448,"Laplace-Empirical"
150,-0.219478634722306,-0.219478634722306,0.0481708710995674,0.68,0.304,"Laplace-Empirical"
200,-0.190647129331676,-0.190647129331676,0.0363463279224089,0.624,0.366,"Laplace-Empirical"
250,-0.192800264633735,-0.192800264633735,0.0371719420428382,0.644,0.344,"Laplace-Empirical"
300,-0.172612922836749,-0.172612922836749,0.0297952211302455,0.622,0.378,"Laplace-Empirical"
350,-0.156991625774013,-0.156991625774013,0.0246463705631677,0.592,0.388,"Laplace-Empirical"
400,-0.137384787825977,-0.137384787825977,0.0188745799259888,0.532,0.446,"Laplace-Empirical"
450,-0.139926737626775,-0.139926737626775,0.0195794919028725,0.554,0.43,"Laplace-Empirical"
500,-0.123050780288458,-0.123050780288458,0.0151414945295983,0.506,0.472,"Laplace-Empirical"
