"N","Mean","bias","mse","prob","cover","model"
50,-0.0482713450005968,-0.0482713450005968,0.00233012274816664,0.052,0.926,"Laplace-Empirical"
100,-0.0477490292808884,-0.0477490292808884,0.00227996979726714,0.092,0.896,"Laplace-Empirical"
150,-0.0536886688642819,-0.0536886688642819,0.00288247316441851,0.112,0.88,"Laplace-Empirical"
200,-0.0388396310740177,-0.0388396310740177,0.0015085169419658,0.088,0.894,"Laplace-Empirical"
250,-0.0400247792973286,-0.0400247792973286,0.00160198295779986,0.126,0.85,"Laplace-Empirical"
300,-0.0381273630536189,-0.0381273630536189,0.00145369581342247,0.13,0.846,"Laplace-Empirical"
350,-0.0349804805854973,-0.0349804805854973,0.00122363402199235,0.122,0.854,"Laplace-Empirical"
400,-0.0286373049206736,-0.0286373049206736,0.000820095233119638,0.14,0.834,"Laplace-Empirical"
450,-0.0316001360326549,-0.0316001360326549,0.000998568597282293,0.152,0.83,"Laplace-Empirical"
500,-0.0271860532576362,-0.0271860532576362,0.000739081491727034,0.128,0.858,"Laplace-Empirical"
