"N","Mean","bias","mse","prob","cover","model"
50,-0.321602628455169,-0.0984590771409597,0.00969418987144946,0.568,0.916,"Laplace-Uniform"
100,-0.317244182693386,-0.0941006313791764,0.00885492882595964,0.798,0.85,"Laplace-Uniform"
150,-0.326658236948769,-0.10351468563456,0.0107152901420217,0.906,0.784,"Laplace-Uniform"
200,-0.314095777585438,-0.0909522262712282,0.0082723074636927,0.93,0.78,"Laplace-Uniform"
250,-0.315800547758793,-0.0926569964445835,0.00858531899013157,0.956,0.74,"Laplace-Uniform"
300,-0.312228309362688,-0.0890847580484788,0.007936094116556,0.984,0.728,"Laplace-Uniform"
350,-0.308510603522697,-0.0853670522084873,0.0072875336027666,0.972,0.706,"Laplace-Uniform"
400,-0.300078254457537,-0.0769347031433272,0.00591894854775188,0.97,0.73,"Laplace-Uniform"
450,-0.302232075110545,-0.0790885237963354,0.0062549945962835,0.992,0.718,"Laplace-Uniform"
500,-0.29904926343944,-0.0759057121252303,0.00576167713323834,0.984,0.72,"Laplace-Uniform"
