"N","Mean","bias","mse","prob","cover","model"
50,-0.240507826161715,-0.0173642748475053,0.000301518040979704,0.296,0.964,"Laplace-Uniform"
100,-0.234985023684418,-0.0118414723702087,0.000140220467894416,0.504,0.942,"Laplace-Uniform"
150,-0.245219632208455,-0.0220760808942453,0.000487353347649263,0.612,0.938,"Laplace-Uniform"
200,-0.230503554008466,-0.00736000269425646,5.41696396594624e-05,0.658,0.922,"Laplace-Uniform"
250,-0.232339583806208,-0.00919603249199821,8.45670135938869e-05,0.718,0.906,"Laplace-Uniform"
300,-0.2326273211769,-0.00948376986269076,8.99418908084814e-05,0.782,0.908,"Laplace-Uniform"
350,-0.221366128885837,0.00177742242837256,3.15923048888181e-06,0.78,0.884,"Laplace-Uniform"
400,-0.22156379056218,0.00157976075202981,2.4956440336538e-06,0.804,0.892,"Laplace-Uniform"
450,-0.223907627500538,-0.000764076186328511,5.83812418514321e-07,0.868,0.882,"Laplace-Uniform"
500,-0.21849132915136,0.00465222216284941,2.16431710525073e-05,0.89,0.86,"Laplace-Uniform"
