"N","Mean","bias","mse","prob","cover","model"
50,-0.2400608433533,-0.2400608433533,0.0576292085114977,0.322,0.676,"Laplace-Uniform"
100,-0.225564687398431,-0.225564687398431,0.0508794282011521,0.468,0.534,"Laplace-Uniform"
150,-0.223206983004781,-0.223206983004781,0.0498213572620968,0.574,0.422,"Laplace-Uniform"
200,-0.1992048025378,-0.1992048025378,0.039682553354124,0.518,0.482,"Laplace-Uniform"
250,-0.196247038220103,-0.196247038220103,0.0385129000101624,0.562,0.434,"Laplace-Uniform"
300,-0.18101762068853,-0.18101762068853,0.0327673789997364,0.526,0.478,"Laplace-Uniform"
350,-0.165496855670001,-0.165496855670001,0.0273892092366573,0.484,0.514,"Laplace-Uniform"
400,-0.146508688546062,-0.146508688546062,0.0214647958194871,0.446,0.542,"Laplace-Uniform"
450,-0.149550500162958,-0.149550500162958,0.0223653520989908,0.456,0.536,"Laplace-Uniform"
500,-0.134517953623018,-0.134517953623018,0.0180950798469244,0.422,0.566,"Laplace-Uniform"
