"N","Mean","bias","mse","prob","cover","model"
50,-0.124711125253872,-0.124711125253872,0.0155528647620869,0.116,0.878,"Laplace-Uniform"
100,-0.120246951099814,-0.120246951099814,0.014459329248801,0.184,0.814,"Laplace-Uniform"
150,-0.126456630788426,-0.126456630788426,0.0159912794703603,0.286,0.71,"Laplace-Uniform"
200,-0.111225731808948,-0.111225731808948,0.012371163416436,0.256,0.734,"Laplace-Uniform"
250,-0.111375071364665,-0.111375071364665,0.0124044065214843,0.31,0.688,"Laplace-Uniform"
300,-0.104192537015007,-0.104192537015007,0.0108560847696237,0.292,0.708,"Laplace-Uniform"
350,-0.0935094486069818,-0.0935094486069818,0.00874401697878178,0.296,0.702,"Laplace-Uniform"
400,-0.0855900774270693,-0.0855900774270693,0.00732566135397172,0.282,0.708,"Laplace-Uniform"
450,-0.0850295275592207,-0.0850295275592207,0.00723002055694427,0.252,0.744,"Laplace-Uniform"
500,-0.0780456081823382,-0.0780456081823382,0.00609111695655106,0.228,0.762,"Laplace-Uniform"
