"N","Mean","bias","mse","prob","cover"
50,-0.0116788038134969,-0.0116788038134969,0.0512518400622631,0.024,0.97
100,-0.0148935782495075,-0.0148935782495075,0.0272305274295067,0.034,0.948
150,0.00151090734095078,0.00151090734095078,0.020056636969759,0.028,0.932
200,-0.00187943439604407,-0.00187943439604407,0.0135302049334163,0.022,0.954
250,-0.00326625589889957,-0.00326625589889957,0.0105340029161455,0.032,0.948
300,0.000943081372560659,0.000943081372560659,0.00890127135122886,0.016,0.96
350,0.00417071531793642,0.00417071531793642,0.00751058382074027,0.016,0.958
400,0.00367457169034429,0.00367457169034429,0.00743807285657163,0.026,0.942
450,0.000857730747317367,0.000857730747317367,0.00509205733375902,0.014,0.968
500,0.00618861783708248,0.00618861783708248,0.00546132310210155,0.022,0.95
