"N","Mean","bias","mse","prob","cover","model"
50,-0.0563132564141957,-0.0563132564141957,0.00317118284797096,0.084,0.894,"Laplace-Empirical"
100,-0.0689280071412638,-0.0689280071412638,0.00475107016846611,0.148,0.828,"Laplace-Empirical"
150,-0.0724839473934722,-0.0724839473934722,0.00525392262973964,0.222,0.76,"Laplace-Empirical"
200,-0.0527200761567642,-0.0527200761567642,0.00277940642997502,0.19,0.782,"Laplace-Empirical"
250,-0.0598223236221161,-0.0598223236221161,0.00357871040354919,0.226,0.76,"Laplace-Empirical"
300,-0.056667493735306,-0.056667493735306,0.00321120484624094,0.236,0.752,"Laplace-Empirical"
350,-0.0404916259200893,-0.0404916259200893,0.00163957176965244,0.208,0.762,"Laplace-Empirical"
400,-0.0404650460224177,-0.0404650460224177,0.00163741994959638,0.198,0.774,"Laplace-Empirical"
450,-0.0405390408975325,-0.0405390408975325,0.00164341383689181,0.206,0.77,"Laplace-Empirical"
500,-0.0325027100941752,-0.0325027100941752,0.001056426163466,0.178,0.802,"Laplace-Empirical"
