"N","Mean","bias","mse","prob","cover","model"
50,0.00929730878821826,0.00929730878821826,8.64399507034805e-05,0.032,0.94,"Laplace-Empirical"
100,0.000116103838405966,0.000116103838405966,1.34801012925988e-08,0.038,0.926,"Laplace-Empirical"
150,-0.00646251204607879,-0.00646251204607879,4.17640619457135e-05,0.024,0.956,"Laplace-Empirical"
200,0.00118792821093174,0.00118792821093174,1.41117343432749e-06,0.022,0.954,"Laplace-Empirical"
250,-0.00449383710647097,-0.00449383710647097,2.01945719394954e-05,0.034,0.94,"Laplace-Empirical"
300,-0.0024396894892846,-0.0024396894892846,5.95208480412573e-06,0.032,0.946,"Laplace-Empirical"
350,-0.000283471563917974,-0.000283471563917974,8.03561275501022e-08,0.04,0.94,"Laplace-Empirical"
400,0.00255322467357669,0.00255322467357669,6.5189562337608e-06,0.016,0.97,"Laplace-Empirical"
450,0.000477077156888376,0.000477077156888376,2.27602613624696e-07,0.014,0.978,"Laplace-Empirical"
500,0.000457288813513537,0.000457288813513537,2.09113058964619e-07,0.018,0.966,"Laplace-Empirical"
