N,mean,bias,mse,prob,cover,model
50,-0.239368996,-0.016225444,0.0236164402452868,0.254,0.968,Laplace-Uniform
100,-0.248223294,-0.025079743,0.0135795654406246,0.498,0.974,Laplace-Uniform
150,-0.25864382,-0.035500269,0.00896970270733881,0.712,0.954,Laplace-Uniform
200,-0.248420073,-0.025276522,0.00606603183876318,0.8,0.968,Laplace-Uniform
250,-0.254494683,-0.031351132,0.0063821123479751,0.888,0.944,Laplace-Uniform
300,-0.253187765,-0.030044214,0.00463045890701046,0.936,0.954,Laplace-Uniform
350,-0.252221179,-0.029077627,0.00463433922504905,0.934,0.944,Laplace-Uniform
400,-0.24627187,-0.023128318,0.00379344375127767,0.954,0.942,Laplace-Uniform
450,-0.251084922,-0.027941371,0.00320790478765922,0.984,0.946,Laplace-Uniform
500,-0.250286146,-0.027142595,0.00323916304050155,0.984,0.944,Laplace-Uniform
