"N","mean","bias","mse","prob","cover","model"
50,-0.160494609783031,-0.160494609783031,0.0608640825230209,0.118,0.882,"Laplace-Uniform"
100,-0.141295784185223,-0.141295784185223,0.0455089360327604,0.18,0.822,"Laplace-Uniform"
150,-0.142377506196831,-0.142377506196831,0.0442815655295824,0.26,0.736,"Laplace-Uniform"
200,-0.115567693171294,-0.115567693171294,0.0335629656028611,0.202,0.794,"Laplace-Uniform"
250,-0.117110466371188,-0.117110466371188,0.0313904563121111,0.234,0.758,"Laplace-Uniform"
300,-0.102720730000971,-0.102720730000971,0.0241124879143842,0.2,0.798,"Laplace-Uniform"
350,-0.0869808022955346,-0.0869808022955346,0.0231216760543163,0.178,0.818,"Laplace-Uniform"
400,-0.0746358714636491,-0.0746358714636491,0.0196081182475915,0.192,0.794,"Laplace-Uniform"
450,-0.080014864850124,-0.080014864850124,0.0175744339663512,0.176,0.816,"Laplace-Uniform"
500,-0.0689264642895835,-0.0689264642895835,0.0156882897706499,0.15,0.836,"Laplace-Uniform"
