"N","mean","bias","mse","prob","cover","model"
50,-0.00249760876068857,-0.00249760876068857,0.0286429683329738,0.022,0.964,"Laplace-Uniform"
100,-0.00488450291995834,-0.00488450291995834,0.0179304387737446,0.024,0.966,"Laplace-Uniform"
150,-0.0145759552625775,-0.0145759552625775,0.013184195529477,0.028,0.964,"Laplace-Uniform"
200,0.0031290632115747,0.0031290632115747,0.00904146725516887,0.016,0.97,"Laplace-Uniform"
250,-0.00627937095762396,-0.00627937095762396,0.00978654380187127,0.024,0.956,"Laplace-Uniform"
300,-0.00553514754104706,-0.00553514754104706,0.00715707024167359,0.024,0.958,"Laplace-Uniform"
350,0.00143544265175272,0.00143544265175272,0.00789912681410205,0.024,0.95,"Laplace-Uniform"
400,0.000994039137916265,0.000994039137916265,0.00667901674312409,0.018,0.948,"Laplace-Uniform"
450,-0.00248404069041716,-0.00248404069041716,0.00602174701208547,0.032,0.934,"Laplace-Uniform"
500,6.11477986352421e-05,6.11477986352421e-05,0.00569577579557183,0.022,0.938,"Laplace-Uniform"
