"N","mean","bias","mse","prob","cover","model"
50,-0.23835195097775,-0.0152083996635399,0.0472438139686269,0.16,0.836,"MCMC-Uniform"
100,-0.293102537334988,-0.069958986020778,0.0301498280358518,0.446,0.552,"MCMC-Uniform"
150,-0.320171563612234,-0.0970280122980245,0.0283943579494794,0.684,0.318,"MCMC-Uniform"
200,-0.317886905176754,-0.0947433538625445,0.0223456147826013,0.748,0.254,"MCMC-Uniform"
250,-0.32072939807163,-0.0975858467574204,0.0217608210811845,0.826,0.174,"MCMC-Uniform"
300,-0.318048727193553,-0.0949051758793432,0.0168771412379617,0.858,0.134,"MCMC-Uniform"
350,-0.312504226403304,-0.0893606750890943,0.0175046456819058,0.862,0.134,"MCMC-Uniform"
400,-0.302333307011737,-0.0791897556975274,0.0150105702140219,0.892,0.108,"MCMC-Uniform"
450,-0.312434250669436,-0.0892906993552259,0.0136849096696413,0.946,0.054,"MCMC-Uniform"
500,-0.303754803002886,-0.0806112516886759,0.0127203783693042,0.928,0.072,"MCMC-Uniform"
