"N","mean","bias","mse","prob","cover","model"
50,0.00899921886272182,0.00899921886272182,0.0420797853564413,0.018,0.968,"MCMC-Uniform"
100,0.00150764768974934,0.00150764768974934,0.0156821166072927,0.016,0.968,"MCMC-Uniform"
150,-0.00766026882371676,-0.00766026882371676,0.00758885170400605,0.008,0.982,"MCMC-Uniform"
200,0.000828206184796009,0.000828206184796009,0.0045334235604205,0.018,0.974,"MCMC-Uniform"
250,-0.000790892345517316,-0.000790892345517316,0.00461343583552053,0.026,0.95,"MCMC-Uniform"
300,-0.00135962839105911,-0.00135962839105911,0.0031943246906693,0.02,0.958,"MCMC-Uniform"
350,-0.00120710921814839,-0.00120710921814839,0.00287270180604893,0.034,0.942,"MCMC-Uniform"
400,0.00245096187694872,0.00245096187694872,0.00225761690880948,0.016,0.96,"MCMC-Uniform"
450,0.00163134268960411,0.00163134268960411,0.00184930396965823,0.016,0.97,"MCMC-Uniform"
500,0.000419225795799034,0.000419225795799034,0.00167446418834068,0.03,0.958,"MCMC-Uniform"
