"N","Mean","bias","mse","prob","cover","model"
50,0.0101862981121427,0.0101862981121427,0.0174369155170084,0.004,0.986,"BHM"
100,0.00300454224316026,0.00300454224316026,0.00847952516737262,0.004,0.988,"BHM"
150,0.00359747308018408,0.00359747308018408,0.00700531971456292,0.006,0.984,"BHM"
200,-0.000672845481790747,-0.000672845481790747,0.00538250499830246,0.006,0.982,"BHM"
250,0.00109643597412242,0.00109643597412242,0.0041432410584173,0.008,0.98,"BHM"
300,-0.00317168784434379,-0.00317168784434379,0.00331741214190205,0.004,0.986,"BHM"
350,0.00557838742628892,0.00557838742628892,0.00301906711548579,0.002,0.99,"BHM"
400,-0.0009388545634502,-0.0009388545634502,0.00283569984701237,0.008,0.98,"BHM"
450,-0.000589704154410102,-0.000589704154410102,0.00264956600407754,0.008,0.984,"BHM"
500,-1.93508093252387e-05,-1.93508093252387e-05,0.00229723903650619,0.008,0.982,"BHM"
