"N","mean","bias","mse","prob","cover","model"
50,-0.229496561444389,-0.00635301013017904,0.0498831237312348,0.134,0.956,"Laplace-Empirical"
100,-0.238677071459641,-0.0155335201454315,0.0317258847645844,0.29,0.942,"Laplace-Empirical"
150,-0.256277890570078,-0.0331343392558681,0.0253172420974994,0.44,0.916,"Laplace-Empirical"
200,-0.240321820677993,-0.0171782693637835,0.0168071882612749,0.484,0.938,"Laplace-Empirical"
250,-0.251695866632831,-0.0285523153186208,0.0147632197255619,0.594,0.932,"Laplace-Empirical"
300,-0.250076485060317,-0.0269329337461074,0.0107163010663382,0.664,0.958,"Laplace-Empirical"
350,-0.241167548979005,-0.018023997664795,0.0113472175082142,0.684,0.91,"Laplace-Empirical"
400,-0.236931641404867,-0.0137880900906577,0.00946332213688206,0.7,0.932,"Laplace-Empirical"
450,-0.248266486586937,-0.0251229352727278,0.00738034122002101,0.816,0.936,"Laplace-Empirical"
500,-0.243163420357944,-0.0200198690437343,0.0072967740463495,0.834,0.934,"Laplace-Empirical"
