"N","mean","bias","mse","prob","cover","model"
50,-0.19985706919122,0.02328648212299,0.0462159871149028,0.112,0.966,"Laplace-Empirical"
100,-0.215576131240231,0.00756742007397831,0.0290300986425316,0.258,0.952,"Laplace-Empirical"
150,-0.233238896760898,-0.010095345446688,0.0214474975538279,0.41,0.94,"Laplace-Empirical"
200,-0.217885259985067,0.00525829132914296,0.0142689028443517,0.466,0.944,"Laplace-Empirical"
250,-0.229622583136888,-0.00647903182267824,0.0128141306800326,0.562,0.942,"Laplace-Empirical"
300,-0.230365271207659,-0.00722171989344951,0.00928039542507478,0.642,0.954,"Laplace-Empirical"
350,-0.221279280472929,0.00186427084128032,0.0100109788317297,0.686,0.924,"Laplace-Empirical"
400,-0.220376668600161,0.00276688271404918,0.00820433484593439,0.726,0.936,"Laplace-Empirical"
450,-0.23066009544043,-0.00751654412622077,0.0062099400881869,0.832,0.954,"Laplace-Empirical"
500,-0.225695800673272,-0.00255224935906186,0.0061976221918826,0.844,0.936,"Laplace-Empirical"
