"N","mean","bias","mse","prob","cover","model"
50,-0.0189197878487812,-0.0189197878487812,0.0533414428992229,0.028,0.954,"Laplace-Empirical"
100,-0.0160155529371307,-0.0160155529371307,0.0352239169963669,0.044,0.934,"Laplace-Empirical"
150,-0.0340791024599342,-0.0340791024599342,0.0279304418141758,0.058,0.912,"Laplace-Empirical"
200,-0.0128205178464269,-0.0128205178464269,0.0182497086848083,0.036,0.942,"Laplace-Empirical"
250,-0.0234718456250193,-0.0234718456250193,0.0165893635594108,0.05,0.932,"Laplace-Empirical"
300,-0.0203338194600726,-0.0203338194600726,0.0117619178056606,0.03,0.962,"Laplace-Empirical"
350,-0.0119377434292347,-0.0119377434292347,0.01212031139236,0.056,0.918,"Laplace-Empirical"
400,-0.0096605361801624,-0.0096605361801624,0.0101859283643511,0.038,0.936,"Laplace-Empirical"
450,-0.0182008285896196,-0.0182008285896196,0.00828792865192275,0.04,0.944,"Laplace-Empirical"
500,-0.0130493338499742,-0.0130493338499742,0.00765032427688487,0.042,0.932,"Laplace-Empirical"
