"N","mean","bias","mse","prob","cover","model"
50,0.00974516516336783,0.00974516516336783,0.0478351261868448,0.022,0.966,"Laplace-Empirical"
100,0.00665644343541364,0.00665644343541364,0.0299916136165171,0.036,0.94,"Laplace-Empirical"
150,-0.0107414063871096,-0.0107414063871096,0.0215989810196436,0.028,0.944,"Laplace-Empirical"
200,0.00836266090459448,0.00836266090459448,0.0137529095731831,0.018,0.954,"Laplace-Empirical"
250,-0.00489659105070108,-0.00489659105070108,0.0133048903332128,0.038,0.94,"Laplace-Empirical"
300,-0.00398050101577618,-0.00398050101577618,0.00896078874841143,0.022,0.964,"Laplace-Empirical"
350,0.00370201177247311,0.00370201177247311,0.00984274599975097,0.042,0.928,"Laplace-Empirical"
400,0.00290064481060935,0.00290064481060935,0.00808161129155167,0.028,0.942,"Laplace-Empirical"
450,-0.00480649667636888,-0.00480649667636888,0.00673961664157439,0.024,0.956,"Laplace-Empirical"
500,-0.000790845542723204,-0.000790845542723204,0.00617067765215205,0.026,0.94,"Laplace-Empirical"
