"N","mean","bias","mse","prob","cover","model"
50,0.00561899515750355,0.00561899515750355,0.0467919604950261,0.022,0.962,"Laplace-Empirical"
100,0.000425853989479322,0.000425853989479322,0.028475889748865,0.036,0.946,"Laplace-Empirical"
150,-0.0186459945685986,-0.0186459945685986,0.0202181883367444,0.032,0.946,"Laplace-Empirical"
200,0.00119696386367205,0.00119696386367205,0.0126633477370998,0.016,0.962,"Laplace-Empirical"
250,-0.0115628910411884,-0.0115628910411884,0.0117418393655328,0.034,0.948,"Laplace-Empirical"
300,-0.00976723369902373,-0.00976723369902373,0.00799990272275857,0.022,0.97,"Laplace-Empirical"
350,-0.0048532057052512,-0.0048532057052512,0.00835762627031377,0.04,0.938,"Laplace-Empirical"
400,-0.00246504576186868,-0.00246504576186868,0.00692763124410216,0.026,0.952,"Laplace-Empirical"
450,-0.0101032788646313,-0.0101032788646313,0.00545312898836312,0.016,0.974,"Laplace-Empirical"
500,-0.00684917166036536,-0.00684917166036536,0.00506265800805422,0.022,0.962,"Laplace-Empirical"
