"N","mean","bias","mse","prob","cover","model"
50,0.012770446011974,0.012770446011974,0.0454904149858081,0.022,0.962,"Laplace-Empirical"
100,0.00719869549083251,0.00719869549083251,0.0270141427575205,0.026,0.954,"Laplace-Empirical"
150,-0.00997866035981991,-0.00997866035981991,0.0180771783125412,0.022,0.962,"Laplace-Empirical"
200,0.00684349422242047,0.00684349422242047,0.011276479222345,0.008,0.972,"Laplace-Empirical"
250,-0.00512702367175152,-0.00512702367175152,0.0102093461123687,0.022,0.958,"Laplace-Empirical"
300,-0.00310316665716004,-0.00310316665716004,0.00655917694148461,0.014,0.978,"Laplace-Empirical"
350,0.00131363595886139,0.00131363595886139,0.00685668240010078,0.022,0.962,"Laplace-Empirical"
400,0.00452823740365342,0.00452823740365342,0.00559175471814905,0.012,0.972,"Laplace-Empirical"
450,-0.00264178112341499,-0.00264178112341499,0.00410410512516144,0.006,0.988,"Laplace-Empirical"
500,-0.001334039327309,-0.001334039327309,0.00397006122953246,0.008,0.98,"Laplace-Empirical"
