"N","mean","bias","mse","prob","cover","model"
50,-0.359517357370875,-0.136373806056666,0.0504815870914215,0.448,0.902,"Laplace-Uniform"
100,-0.348264201715862,-0.125120650401652,0.0363135737668828,0.59,0.828,"Laplace-Uniform"
150,-0.352067562978434,-0.128924011664225,0.0351828518565431,0.714,0.744,"Laplace-Uniform"
200,-0.330468258042709,-0.107324706728499,0.0267440478503911,0.728,0.776,"Laplace-Uniform"
250,-0.333505938503367,-0.110362387189157,0.0250998992222526,0.806,0.758,"Laplace-Uniform"
300,-0.323332775223253,-0.100189223909043,0.0191516159549474,0.824,0.786,"Laplace-Uniform"
350,-0.311542987351856,-0.0883994360376467,0.0190950188724842,0.818,0.784,"Laplace-Uniform"
400,-0.297739332448871,-0.0745957811346617,0.0155131833567467,0.834,0.786,"Laplace-Uniform"
450,-0.306778219487209,-0.0836346681729997,0.0140523275026505,0.902,0.802,"Laplace-Uniform"
500,-0.297715990952489,-0.0745724396382796,0.0133438660618993,0.892,0.814,"Laplace-Uniform"
