"N","mean","bias","mse","prob","cover","model"
50,-0.0299711789919222,-0.0299711789919222,0.0272027890276837,0.022,0.968,"Laplace-Uniform"
100,-0.0320363364279378,-0.0320363364279378,0.0161977572488542,0.028,0.968,"Laplace-Uniform"
150,-0.0422676968169065,-0.0422676968169065,0.0119133593219965,0.044,0.952,"Laplace-Uniform"
200,-0.0257762777707514,-0.0257762777707514,0.00772867955312909,0.026,0.974,"Laplace-Uniform"
250,-0.0324914163902577,-0.0324914163902577,0.00824370843846182,0.054,0.936,"Laplace-Uniform"
300,-0.0295983401058946,-0.0295983401058946,0.00587304982033906,0.052,0.938,"Laplace-Uniform"
350,-0.0258215987214526,-0.0258215987214526,0.0057371170543857,0.046,0.944,"Laplace-Uniform"
400,-0.0213301121084461,-0.0213301121084461,0.00492019400795764,0.056,0.936,"Laplace-Uniform"
450,-0.0248935095216041,-0.0248935095216041,0.00429759537720361,0.04,0.954,"Laplace-Uniform"
500,-0.0219629988185024,-0.0219629988185024,0.00387718559097216,0.05,0.948,"Laplace-Uniform"
