N,mean,bias,mse,prob,cover,model
50,-0.194378095,0.0287654566494146,0.0519394969985319,0.112,0.966,MCMC-Empirical
100,-0.22379659,-0.000653038,0.0314214252944778,0.256,0.95,MCMC-Empirical
150,-0.252103122,-0.028959571,0.0229558300013199,0.462,0.912,MCMC-Empirical
200,-0.248587718,-0.025444166,0.0160566442707238,0.54,0.932,MCMC-Empirical
250,-0.265596269,-0.042452717,0.0146421188741977,0.676,0.912,MCMC-Empirical
300,-0.26743751,-0.044293959,0.0112531821053464,0.714,0.918,MCMC-Empirical
350,-0.262431492,-0.03928794,0.0120265793369754,0.73,0.868,MCMC-Empirical
400,-0.259720295,-0.036576744,0.0100856867978218,0.778,0.88,MCMC-Empirical
450,-0.270068331,-0.04692478,0.00848827992575108,0.866,0.888,MCMC-Empirical
500,-0.266332167,-0.043188615,0.00856676373349045,0.874,0.876,MCMC-Empirical
