N,mean,bias,mse,prob,cover,model
50,-0.200974946,0.0221686057869261,0.0430119975210206,0.12,0.968,MCMC-Empirical
100,-0.224052677,-0.000909126,0.0222773761278623,0.304,0.952,MCMC-Empirical
150,-0.231247152,-0.0081036,0.0151173595477409,0.492,0.942,MCMC-Empirical
200,-0.217732505,0.00541104671446894,0.0107232553993892,0.592,0.934,MCMC-Empirical
250,-0.222186483,0.000957068729592497,0.0111158950173499,0.674,0.89,MCMC-Empirical
300,-0.217568266,0.00557528516652804,0.00834677240802999,0.756,0.928,MCMC-Empirical
350,-0.211465636,0.0116779157794457,0.00867770212260723,0.782,0.86,MCMC-Empirical
400,-0.205936105,0.0172074462611777,0.00664463793483261,0.814,0.898,MCMC-Empirical
450,-0.210259145,0.0128844063435826,0.00616121678538467,0.87,0.912,MCMC-Empirical
500,-0.212847134,0.0102964173552811,0.00586194350544835,0.902,0.886,MCMC-Empirical
