N,mean,bias,mse,prob,cover,model
50,0.0136606391238324,0.0136606391238324,0.053560823665549,0.018,0.966,MCMC-Empirical
100,0.000610060681550918,0.000610060681550918,0.0342032851207785,0.04,0.938,MCMC-Empirical
150,-0.027153962,-0.027153962,0.025833865380116,0.054,0.918,MCMC-Empirical
200,-0.015491977,-0.015491977,0.0175315737110368,0.038,0.944,MCMC-Empirical
250,-0.033655054,-0.033655054,0.0166129474207651,0.084,0.898,MCMC-Empirical
300,-0.03252407,-0.03252407,0.0128294092996762,0.058,0.938,MCMC-Empirical
350,-0.026786237,-0.026786237,0.0129262540773648,0.076,0.904,MCMC-Empirical
400,-0.022253782,-0.022253782,0.0111690007505538,0.06,0.92,MCMC-Empirical
450,-0.031880719,-0.031880719,0.0094984001393061,0.062,0.924,MCMC-Empirical
500,-0.028330632,-0.028330632,0.00940882891284362,0.064,0.916,MCMC-Empirical
