N,mean,bias,mse,prob,cover,model
50,0.0134109980398904,0.0134109980398904,0.0535141991704737,0.018,0.966,MCMC-Empirical
100,0.00742226957851157,0.00742226957851157,0.0317560448450305,0.036,0.946,MCMC-Empirical
150,-0.011013383,-0.011013383,0.0209453281643189,0.03,0.942,MCMC-Empirical
200,0.00838563718663267,0.00838563718663267,0.0122018879488171,0.014,0.96,MCMC-Empirical
250,-0.003638395,-0.003638395,0.0120732566454263,0.04,0.93,MCMC-Empirical
300,-0.001796385,-0.001796385,0.00779891351026412,0.032,0.946,MCMC-Empirical
350,0.00568654648894134,0.00568654648894134,0.00885739919460408,0.05,0.914,MCMC-Empirical
400,0.008117232868212,0.008117232868212,0.00708859387301085,0.03,0.914,MCMC-Empirical
450,0.00397556350097623,0.00397556350097623,0.00625713471349621,0.038,0.92,MCMC-Empirical
500,0.00352505865847763,0.00352505865847763,0.00569282702571445,0.028,0.92,MCMC-Empirical
