N,mean,bias,mse,prob,cover,model
50,0.0135688782781133,0.0135688782781133,0.0534608027732405,0.018,0.962,MCMC-Empirical
100,0.00344792995361878,0.00344792995361878,0.0305688886256223,0.034,0.946,MCMC-Empirical
150,-0.019233688,-0.019233688,0.0190233895228966,0.03,0.954,MCMC-Empirical
200,-0.005142965,-0.005142965,0.0105827102023212,0.018,0.966,MCMC-Empirical
250,-0.015819184,-0.015819184,0.0093371781140063,0.046,0.94,MCMC-Empirical
300,-0.015284251,-0.015284251,0.00587846778398029,0.032,0.954,MCMC-Empirical
350,-0.013707925,-0.013707925,0.00580123463700157,0.04,0.946,MCMC-Empirical
400,-0.007857561,-0.007857561,0.00463717211265361,0.038,0.948,MCMC-Empirical
450,-0.012671692,-0.012671692,0.0037692552965541,0.036,0.956,MCMC-Empirical
500,-0.011480687,-0.011480687,0.00329016931233604,0.032,0.954,MCMC-Empirical
