N,mean,bias,mse,prob,cover,model
50,0.0137436740429897,0.0137436740429897,0.0535327998580037,0.016,0.966,MCMC-Empirical
100,0.00748937326040505,0.00748937326040505,0.0292026339735983,0.03,0.948,MCMC-Empirical
150,-0.010691006,-0.010691006,0.0162480654587842,0.026,0.962,MCMC-Empirical
200,0.00457997522025468,0.00457997522025468,0.00795853684951256,0.012,0.982,MCMC-Empirical
250,-0.002545679,-0.002545679,0.00685346344700623,0.024,0.958,MCMC-Empirical
300,-0.001818302,-0.001818302,0.00396487310169001,0.018,0.97,MCMC-Empirical
350,-0.000211063,-0.000211063,0.00386102065704615,0.032,0.946,MCMC-Empirical
400,0.00392579392346107,0.00392579392346107,0.00277786643044291,0.012,0.97,MCMC-Empirical
450,0.000771215217556781,0.000771215217556781,0.00214265356595534,0.006,0.984,MCMC-Empirical
500,0.00053711139234812,0.00053711139234812,0.00200019198444787,0.02,0.972,MCMC-Empirical
