"N","mean","bias","mse","prob","cover","model"
50,-0.201144768345723,0.0219987829684867,0.042967173988802,0.12,0.97,"MCMC-Uniform"
100,-0.223943711503506,-0.000800160189296436,0.0222523839430391,0.302,0.952,"MCMC-Uniform"
150,-0.231227178185346,-0.00808362687113648,0.0151057268415778,0.498,0.942,"MCMC-Uniform"
200,-0.217771768590361,0.00537178272384851,0.0107296378477023,0.59,0.94,"MCMC-Uniform"
250,-0.222101421115944,0.00104213019826524,0.0111125741711966,0.668,0.892,"MCMC-Uniform"
300,-0.21762592841312,0.00551762290108969,0.00835654758053542,0.752,0.924,"MCMC-Uniform"
350,-0.211531921017617,0.0116116302965923,0.00868357248849785,0.782,0.858,"MCMC-Uniform"
400,-0.205772591208233,0.0173709601059769,0.00664368180737902,0.814,0.898,"MCMC-Uniform"
450,-0.210351164682353,0.0127923866318568,0.00616044266201965,0.874,0.908,"MCMC-Uniform"
500,-0.212796781430025,0.0103467698841843,0.00586999825867664,0.9,0.884,"MCMC-Uniform"
