"N","mean","bias","mse","prob","cover","model"
50,-0.0245086804226495,-0.0245086804226495,0.0513455100111717,0.026,0.964,"MCMC-Uniform"
100,-0.0685160186246922,-0.0685160186246922,0.0364778839361725,0.086,0.904,"MCMC-Uniform"
150,-0.09983741492874,-0.09983741492874,0.0348494983174819,0.17,0.824,"MCMC-Uniform"
200,-0.0953469222573203,-0.0953469222573203,0.028224338072871,0.192,0.804,"MCMC-Uniform"
250,-0.106132946927911,-0.106132946927911,0.0293452551138695,0.246,0.746,"MCMC-Uniform"
300,-0.0944715241705798,-0.0944715241705798,0.0217681246028348,0.256,0.742,"MCMC-Uniform"
350,-0.0882729316888561,-0.0882729316888561,0.0225174590230538,0.252,0.746,"MCMC-Uniform"
400,-0.0759176425049355,-0.0759176425049355,0.0190695364394732,0.236,0.748,"MCMC-Uniform"
450,-0.0777033396242436,-0.0777033396242436,0.0165327911672691,0.232,0.76,"MCMC-Uniform"
500,-0.0711943740015727,-0.0711943740015727,0.0152256736360699,0.222,0.768,"MCMC-Uniform"
