"N","Mean","bias","mse","prob","cover","model"
50,-0.424895443747337,-0.201751892433127,0.0407038261003481,0.802,0.656,"Laplace-Empirical"
100,-0.409768932645722,-0.186625381331513,0.0348290329571325,0.894,0.546,"Laplace-Empirical"
150,-0.403565529712428,-0.180421978398218,0.0325520902891271,0.918,0.43,"Laplace-Empirical"
200,-0.387041808579817,-0.163898257265608,0.0268626387347033,0.922,0.462,"Laplace-Empirical"
250,-0.381249638642349,-0.158106087328139,0.0249975348502131,0.948,0.422,"Laplace-Empirical"
300,-0.367561819591128,-0.144418268276918,0.0208566362121038,0.96,0.464,"Laplace-Empirical"
350,-0.358672035322742,-0.135528484008533,0.0183679699776511,0.936,0.448,"Laplace-Empirical"
400,-0.338895984810059,-0.115752433495849,0.0133986258602109,0.952,0.476,"Laplace-Empirical"
450,-0.345150305358441,-0.122006754044232,0.0148856480324096,0.974,0.468,"Laplace-Empirical"
500,-0.334160406211205,-0.111016854896995,0.0123247420712205,0.956,0.482,"Laplace-Empirical"
