N,Mean,bias,mse,prob,cover,model
50,-0.325473169,-0.102329618,0.010471351,0.814,0.84,Laplace-Empirical
100,-0.326479334,-0.103335783,0.010678284,0.954,0.764,Laplace-Empirical
150,-0.321860001,-0.098716449,0.009744937,0.978,0.668,Laplace-Empirical
200,-0.322565062,-0.09942151,0.009884637,0.996,0.604,Laplace-Empirical
250,-0.317874294,-0.094730743,0.008973914,0.99,0.55,Laplace-Empirical
300,-0.317504075,-0.094360524,0.008903909,0.99,0.474,Laplace-Empirical
350,-0.309779016,-0.086635465,0.007505704,0.994,0.516,Laplace-Empirical
400,-0.312180136,-0.089036585,0.007927513,0.99,0.436,Laplace-Empirical
450,-0.304242514,-0.081098963,0.006577042,0.992,0.464,Laplace-Empirical
500,-0.302008509,-0.078864958,0.006219682,0.998,0.462,Laplace-Empirical
