"N","Mean","bias","mse","prob","cover","model"
50,-0.217383134062875,0.00576041725133428,3.31824069094695e-05,0.282,0.918,"Laplace-Empirical"
100,-0.222078591820221,0.0010649594939888,1.13413872383688e-06,0.5,0.876,"Laplace-Empirical"
150,-0.23504429300492,-0.0119007416907105,0.000141627652789015,0.61,0.84,"Laplace-Empirical"
200,-0.218175651416449,0.00496789989776109,2.46800293941746e-05,0.642,0.856,"Laplace-Empirical"
250,-0.223219208239324,-7.56569251143535e-05,5.72397031775890e-09,0.712,0.816,"Laplace-Empirical"
300,-0.225925907739913,-0.00278235642570293,7.74150727965039e-06,0.772,0.832,"Laplace-Empirical"
350,-0.212141687410825,0.0110018639033842,0.000121041009348589,0.794,0.798,"Laplace-Empirical"
400,-0.215526347889124,0.00761720342508546,5.80217880191336e-05,0.838,0.814,"Laplace-Empirical"
450,-0.220729808591596,0.00241374272261402,5.82615393097215e-06,0.896,0.826,"Laplace-Empirical"
500,-0.214824182901589,0.00831936841262035,6.92118907849052e-05,0.91,0.816,"Laplace-Empirical"
