"N","Mean","bias","mse","prob","cover","model"
50,-0.136192043774289,-0.136192043774289,0.0185482727874179,0.194,0.788,"Laplace-Empirical"
100,-0.110063547386984,-0.110063547386984,0.0121139844634068,0.298,0.688,"Laplace-Empirical"
150,-0.116060089422425,-0.116060089422425,0.0134699443567412,0.378,0.602,"Laplace-Empirical"
200,-0.0892291399610257,-0.0892291399610257,0.00796183941818431,0.306,0.676,"Laplace-Empirical"
250,-0.0924836796666016,-0.0924836796666016,0.00855323100467459,0.328,0.654,"Laplace-Empirical"
300,-0.0820928241864839,-0.0820928241864839,0.00673923178291296,0.282,0.72,"Laplace-Empirical"
350,-0.064567933915944,-0.064567933915944,0.00416901809017371,0.248,0.728,"Laplace-Empirical"
400,-0.0569987542778866,-0.0569987542778866,0.0032488579892309,0.264,0.714,"Laplace-Empirical"
450,-0.061499916829266,-0.061499916829266,0.00378223977000664,0.252,0.736,"Laplace-Empirical"
500,-0.0519357875501919,-0.0519357875501919,0.00269732602845867,0.218,0.77,"Laplace-Empirical"
