"N","Mean","bias","mse","prob","cover","model"
50,-0.141419807228346,-0.141419807228346,0.0199995618765025,0.208,0.794,"Laplace-Empirical"
100,-0.13667789688076,-0.13667789688076,0.0186808474957478,0.374,0.626,"Laplace-Empirical"
150,-0.131687203969783,-0.131687203969783,0.0173415196893793,0.472,0.518,"Laplace-Empirical"
200,-0.131926219658557,-0.131926219658557,0.017404527433398,0.574,0.42,"Laplace-Empirical"
250,-0.124502880892509,-0.124502880892509,0.0155009673505343,0.58,0.406,"Laplace-Empirical"
300,-0.11923884822534,-0.11923884822534,0.0142179029261056,0.61,0.386,"Laplace-Empirical"
350,-0.10660191049359,-0.10660191049359,0.0113639673208833,0.536,0.448,"Laplace-Empirical"
400,-0.106301860360888,-0.106301860360888,0.0113000855161857,0.566,0.42,"Laplace-Empirical"
450,-0.100432145409514,-0.100432145409514,0.0100866158315578,0.538,0.45,"Laplace-Empirical"
500,-0.0919551331093859,-0.0919551331093859,0.00845574650516488,0.504,0.48,"Laplace-Empirical"
