"N","Mean","bias","mse","prob","cover","model"
50,-0.0202441721229973,-0.0202441721229973,0.00040982650494554,0.042,0.936,"Laplace-Empirical"
100,-0.0279158863402952,-0.0279158863402952,0.000779296710164282,0.068,0.906,"Laplace-Empirical"
150,-0.0384679160376591,-0.0384679160376591,0.00147978056428039,0.098,0.888,"Laplace-Empirical"
200,-0.017586917034047,-0.017586917034047,0.000309299650762453,0.07,0.902,"Laplace-Empirical"
250,-0.0263345345925653,-0.0263345345925653,0.000693507712207019,0.09,0.894,"Laplace-Empirical"
300,-0.0233518812606317,-0.0233518812606317,0.000545310358410643,0.092,0.882,"Laplace-Empirical"
350,-0.0203390082708177,-0.0203390082708177,0.000413675257440389,0.086,0.884,"Laplace-Empirical"
400,-0.0154262867494059,-0.0154262867494059,0.000237970322874895,0.09,0.886,"Laplace-Empirical"
450,-0.0197467890861478,-0.0197467890861478,0.000389935679212804,0.098,0.892,"Laplace-Empirical"
500,-0.0150341714207516,-0.0150341714207516,0.000226026310308544,0.084,0.904,"Laplace-Empirical"
