"N","Mean","bias","mse","prob","cover","model"
50,-0.00323517230185244,-0.00323517230185244,1.04663398226732e-05,0.028,0.942,"Laplace-Empirical"
100,0.00427028664543634,0.00427028664543634,1.82353480341919e-05,0.026,0.948,"Laplace-Empirical"
150,-0.0068410246678022,-0.0068410246678022,4.67996185054782e-05,0.022,0.96,"Laplace-Empirical"
200,-0.000972815699336003,-0.000972815699336003,9.46370384874596e-07,0.022,0.958,"Laplace-Empirical"
250,-0.000863069871505269,-0.000863069871505269,7.44889603100121e-07,0.026,0.948,"Laplace-Empirical"
300,-0.000795100035349406,-0.000795100035349406,6.32184066212627e-07,0.024,0.95,"Laplace-Empirical"
350,-0.00141873256579696,-0.00141873256579696,2.01280209325282e-06,0.038,0.936,"Laplace-Empirical"
400,0.0020132805078511,0.0020132805078511,4.05329840329316e-06,0.016,0.962,"Laplace-Empirical"
450,0.00125740926654178,0.00125740926654178,1.58107806358515e-06,0.022,0.962,"Laplace-Empirical"
500,0.000506027226634076,0.000506027226634076,2.56063554094975e-07,0.026,0.958,"Laplace-Empirical"
