N,Mean,bias,mse,prob,cover,model
50,-0.436380561,-0.213237009,0.045470022,0.932,0.602,Laplace-Uniform
100,-0.433668738,-0.210525186,0.044320854,0.99,0.346,Laplace-Uniform
150,-0.420210038,-0.197066487,0.0388352,0.978,0.3,Laplace-Uniform
200,-0.409035575,-0.185892024,0.034555845,0.986,0.318,Laplace-Uniform
250,-0.404924504,-0.181780953,0.033044315,0.986,0.296,Laplace-Uniform
300,-0.396245952,-0.1731024,0.029964441,0.988,0.274,Laplace-Uniform
350,-0.383691633,-0.160548081,0.025775686,0.99,0.32,Laplace-Uniform
400,-0.376964659,-0.153821108,0.023660933,0.986,0.328,Laplace-Uniform
450,-0.366292223,-0.143148672,0.020491542,0.992,0.354,Laplace-Uniform
500,-0.357106892,-0.133963341,0.017946177,0.978,0.358,Laplace-Uniform
