N,mean,bias,mse,prob,cover,model
50,-0.283478862,-0.060335311,0.0291118802892976,0.324,0.96,Laplace-Uniform
100,-0.290423611,-0.06728006,0.0201515224600196,0.592,0.918,Laplace-Uniform
150,-0.299752421,-0.076608869,0.0169709066152054,0.726,0.882,Laplace-Uniform
200,-0.288466024,-0.065322473,0.0126160747226995,0.79,0.916,Laplace-Uniform
250,-0.293423152,-0.0702796,0.0129021620759971,0.872,0.85,Laplace-Uniform
300,-0.291150478,-0.068006927,0.0102946772164534,0.91,0.86,Laplace-Uniform
350,-0.283479966,-0.060336415,0.0102908878992475,0.894,0.842,Laplace-Uniform
400,-0.276701736,-0.053558185,0.00873944236964238,0.928,0.874,Laplace-Uniform
450,-0.281285827,-0.058142275,0.00771227850781881,0.956,0.866,Laplace-Uniform
500,-0.277027193,-0.053883642,0.00755862170078947,0.95,0.86,Laplace-Uniform
