"N","mean","bias","mse","prob","cover","model"
50,-0.225305171633956,-0.00216162031974626,0.0271941423286202,0.172,0.972,"Laplace-Uniform"
100,-0.228637797329014,-0.00549424601480396,0.0189014626450498,0.356,0.96,"Laplace-Uniform"
150,-0.241217560480338,-0.0180740091661285,0.0159155754707286,0.52,0.948,"Laplace-Uniform"
200,-0.226406403165749,-0.00326285185153928,0.0113372414592254,0.578,0.95,"Laplace-Uniform"
250,-0.232976170098773,-0.00983261878456375,0.0112603835970229,0.652,0.926,"Laplace-Uniform"
300,-0.233230898196274,-0.0100873468820641,0.00896312755961899,0.732,0.936,"Laplace-Uniform"
350,-0.221622343629626,0.00152120768458405,0.00961219139216479,0.736,0.918,"Laplace-Uniform"
400,-0.222407343922525,0.000736207391684422,0.00794880095051004,0.78,0.922,"Laplace-Uniform"
450,-0.228013353292598,-0.0048698019783886,0.00675917042309145,0.844,0.92,"Laplace-Uniform"
500,-0.221983460517251,0.00116009079695901,0.00667418330490365,0.858,0.91,"Laplace-Uniform"
