"N","Mean","bias","mse","prob","cover","model"
50,-0.21847069940712,-0.21847069940712,0.0477294464994361,0.346,0.652,"Laplace-Uniform"
100,-0.21544647159532,-0.21544647159532,0.046417182122873,0.516,0.48,"Laplace-Uniform"
150,-0.198857639424429,-0.198857639424429,0.039544360757456,0.53,0.466,"Laplace-Uniform"
200,-0.182142132020915,-0.182142132020915,0.0331757562571244,0.53,0.468,"Laplace-Uniform"
250,-0.170883004356598,-0.170883004356598,0.0292010011779371,0.52,0.482,"Laplace-Uniform"
300,-0.164944557322108,-0.164944557322108,0.0272067069901862,0.504,0.494,"Laplace-Uniform"
350,-0.136114478823592,-0.136114478823592,0.0185271513454181,0.4,0.594,"Laplace-Uniform"
400,-0.130518233418841,-0.130518233418841,0.0170350092547752,0.408,0.586,"Laplace-Uniform"
450,-0.11810073039537,-0.11810073039537,0.0139477825199198,0.396,0.602,"Laplace-Uniform"
500,-0.105956372973036,-0.105956372973036,0.0112267529736011,0.338,0.65,"Laplace-Uniform"
