N,Mean,bias,mse,prob,cover,model
50,-0.139801834,-0.139801834,0.019544553,0.194,0.804,Laplace-Uniform
100,-0.136334983,-0.136334983,0.018587228,0.35,0.65,Laplace-Uniform
150,-0.132819243,-0.132819243,0.017640951,0.436,0.564,Laplace-Uniform
200,-0.133157222,-0.133157222,0.017730846,0.526,0.476,Laplace-Uniform
250,-0.124194847,-0.124194847,0.01542436,0.51,0.488,Laplace-Uniform
300,-0.121631396,-0.121631396,0.014794196,0.554,0.442,Laplace-Uniform
350,-0.108120976,-0.108120976,0.011690146,0.474,0.52,Laplace-Uniform
400,-0.109856488,-0.109856488,0.012068448,0.496,0.492,Laplace-Uniform
450,-0.103144305,-0.103144305,0.010638748,0.48,0.514,Laplace-Uniform
500,-0.094978419,-0.094978419,0.0090209,0.434,0.562,Laplace-Uniform
