"N","Mean","bias","mse","prob","cover","model"
50,-0.000587405161210317,-0.000587405161210317,3.45044823416518e-07,0.016,0.966,"Laplace-Uniform"
100,-0.00452253107555601,-0.00452253107555601,2.04532873293698e-05,0.022,0.962,"Laplace-Uniform"
150,-0.00368976825928455,-0.00368976825928455,1.36143898072237e-05,0.026,0.954,"Laplace-Uniform"
200,-0.00869642767528617,-0.00869642767528617,7.56278543114832e-05,0.03,0.942,"Laplace-Uniform"
250,0.00153802577596692,0.00153802577596692,2.36552328753864e-06,0.024,0.928,"Laplace-Uniform"
300,-0.00731175265421877,-0.00731175265421877,5.34617268764753e-05,0.022,0.944,"Laplace-Uniform"
350,0.00868080420193615,0.00868080420193615,7.53563615923523e-05,0.038,0.924,"Laplace-Uniform"
400,-0.000753164762523342,-0.000753164762523342,5.67257159506842e-07,0.034,0.926,"Laplace-Uniform"
450,-0.00191227514155595,-0.00191227514155595,3.65679621701285e-06,0.046,0.896,"Laplace-Uniform"
500,0.00347399322194581,0.00347399322194581,1.20686289061254e-05,0.056,0.892,"Laplace-Uniform"
