"N","Mean","bias","mse","prob","cover","model"
50,-0.0105151098685465,-0.0105151098685465,0.000110567535547605,0.022,0.962,"Laplace-Uniform"
100,-0.0102523471382682,-0.0102523471382682,0.000105110621843555,0.026,0.958,"Laplace-Uniform"
150,-0.0182170410390073,-0.0182170410390073,0.000331860584216877,0.026,0.97,"Laplace-Uniform"
200,-0.00169026478968152,-0.00169026478968152,2.85699505923712e-06,0.018,0.966,"Laplace-Uniform"
250,-0.00784724222059703,-0.00784724222059703,6.15792104687206e-05,0.032,0.944,"Laplace-Uniform"
300,-0.00724223033066348,-0.00724223033066348,5.24499001623821e-05,0.044,0.938,"Laplace-Uniform"
350,-0.000911115781540301,-0.000911115781540301,8.30131967371794e-07,0.04,0.924,"Laplace-Uniform"
400,0.000520476249314583,0.000520476249314583,2.70895526100576e-07,0.032,0.932,"Laplace-Uniform"
450,-0.000661849434859132,-0.000661849434859132,4.38044674423352e-07,0.042,0.912,"Laplace-Uniform"
500,0.000448914640520039,0.000448914640520039,2.01524354473236e-07,0.04,0.904,"Laplace-Uniform"
