"N","Mean","bias","mse","prob","cover","model"
50,-0.209363632383687,0.013779918930523,0.0517475951383116,0.15,0.946,"MCMC-Empirical"
100,-0.242711633518554,-0.0195680822043444,0.0220667472365066,0.444,0.948,"MCMC-Empirical"
150,-0.25552020025317,-0.0323766489389606,0.0157527627028482,0.652,0.908,"MCMC-Empirical"
200,-0.26858037773138,-0.0454368264171702,0.012652145744027,0.77,0.844,"MCMC-Empirical"
250,-0.27016266690758,-0.0470191155933703,0.0101006829170811,0.87,0.832,"MCMC-Empirical"
300,-0.275354647831993,-0.0522110965177835,0.00852133502713961,0.918,0.776,"MCMC-Empirical"
350,-0.265637124109093,-0.042493572794883,0.0077576076379814,0.924,0.79,"MCMC-Empirical"
400,-0.26958311015704,-0.0464395588428298,0.00744780174156087,0.942,0.738,"MCMC-Empirical"
450,-0.268819290483032,-0.0456757391688227,0.00656747997763155,0.966,0.758,"MCMC-Empirical"
500,-0.26377474051781,-0.0406311892036001,0.00568329832191103,0.96,0.772,"MCMC-Empirical"
