"N","Mean","bias","mse","prob","cover","model"
50,-0.223821216527973,-0.000677665213763165,0.0491857603253575,0.162,0.952,"MCMC-Uniform"
100,-0.266448815976302,-0.0433052646620921,0.0250991027079754,0.434,0.922,"MCMC-Uniform"
150,-0.279726559573528,-0.0565830082593179,0.0202898779332376,0.606,0.9,"MCMC-Uniform"
200,-0.286578530902091,-0.0634349795878813,0.016591149681249,0.712,0.838,"MCMC-Uniform"
250,-0.287198369138268,-0.0640548178240586,0.013700385232459,0.818,0.83,"MCMC-Uniform"
300,-0.292230699099516,-0.0690871477853061,0.0119331317675385,0.864,0.798,"MCMC-Uniform"
350,-0.278913988182293,-0.0557704368680834,0.0104549034461156,0.872,0.82,"MCMC-Uniform"
400,-0.283250759138889,-0.0601072078246789,0.0104729587141755,0.904,0.786,"MCMC-Uniform"
450,-0.281802443100407,-0.0586588917861976,0.00937096934598241,0.918,0.774,"MCMC-Uniform"
500,-0.276694644894594,-0.053551093580384,0.00853490144531813,0.928,0.792,"MCMC-Uniform"
