"N","mean","bias","mse","prob","cover","model"
50,-0.201779149810835,0.0213644015033745,0.0390083553764842,0.116,0.882,"MCMC-Uniform"
100,-0.224117328997062,-0.000973777682852589,0.0137915921286081,0.398,0.602,"MCMC-Uniform"
150,-0.233227249988291,-0.0100836986740816,0.00632381231817074,0.742,0.258,"MCMC-Uniform"
200,-0.226732432479554,-0.00358888116534412,0.00432852591642538,0.88,0.12,"MCMC-Uniform"
250,-0.22831854960093,-0.00517499828671995,0.00416411215560134,0.94,0.06,"MCMC-Uniform"
300,-0.228279588273269,-0.00513603695905912,0.00293255615195714,0.97,0.03,"MCMC-Uniform"
350,-0.229319858298507,-0.00617630698429764,0.00273174858530573,0.986,0.014,"MCMC-Uniform"
400,-0.225358855121131,-0.00221530380692137,0.00209705384185199,0.994,0.006,"MCMC-Uniform"
450,-0.227123007678509,-0.0039794563642993,0.00174297482070111,1,0,"MCMC-Uniform"
500,-0.227464995025487,-0.00432144371127748,0.00162505859144305,1,0,"MCMC-Uniform"
