"N","mean","bias","mse","prob","cover","model"
50,0.00792519209485414,0.00792519209485414,0.0448432014070983,0.018,0.968,"MCMC-Uniform"
100,-0.00261546641746983,-0.00261546641746983,0.0217054732003925,0.034,0.956,"MCMC-Uniform"
150,-0.0117625240858769,-0.0117625240858769,0.0137782427904742,0.036,0.952,"MCMC-Uniform"
200,0.00485706639449327,0.00485706639449327,0.00879776979398448,0.022,0.964,"MCMC-Uniform"
250,-0.00164862526874762,-0.00164862526874762,0.0101654143786709,0.04,0.92,"MCMC-Uniform"
300,-0.00140484528578076,-0.00140484528578076,0.00658467571338923,0.038,0.938,"MCMC-Uniform"
350,0.00490611127320126,0.00490611127320126,0.00773070511374855,0.048,0.906,"MCMC-Uniform"
400,0.00869997405985588,0.00869997405985588,0.00655814573258425,0.038,0.908,"MCMC-Uniform"
450,0.00704143889562374,0.00704143889562374,0.00615270753878719,0.044,0.894,"MCMC-Uniform"
500,0.00606413191320348,0.00606413191320348,0.00556169961838771,0.042,0.888,"MCMC-Uniform"
