"N","mean","bias","mse","prob","cover","model"
50,-0.000786878507024621,-0.000786878507024621,0.0434682579124911,0.02,0.97,"MCMC-Uniform"
100,-0.0235798477092921,-0.0235798477092921,0.0186667461143127,0.028,0.966,"MCMC-Uniform"
150,-0.0378285131496169,-0.0378285131496169,0.0116632771552133,0.06,0.934,"MCMC-Uniform"
200,-0.0259978922931055,-0.0259978922931055,0.00701873975371625,0.034,0.966,"MCMC-Uniform"
250,-0.0299771193464144,-0.0299771193464144,0.00765549628315145,0.066,0.922,"MCMC-Uniform"
300,-0.0304125031424188,-0.0304125031424188,0.00527667217521936,0.072,0.92,"MCMC-Uniform"
350,-0.0274691821026025,-0.0274691821026025,0.00513147115071841,0.066,0.918,"MCMC-Uniform"
400,-0.0202402202215236,-0.0202402202215236,0.00419483814996138,0.078,0.908,"MCMC-Uniform"
450,-0.0232717972458959,-0.0232717972458959,0.00377843112538156,0.094,0.896,"MCMC-Uniform"
500,-0.0219874886105537,-0.0219874886105537,0.00335341172390638,0.074,0.92,"MCMC-Uniform"
