"N","mean","bias","mse","prob","cover","model"
50,-0.2286195598187,-0.00547600850449009,0.0472533965624029,0.136,0.968,"MCMC-Uniform"
100,-0.273891588197488,-0.0507480368832785,0.0221704275105655,0.484,0.934,"MCMC-Uniform"
150,-0.291131743607759,-0.0679881922935495,0.0158776138948479,0.748,0.882,"MCMC-Uniform"
200,-0.286674772912639,-0.063531221598429,0.0117640051591238,0.844,0.864,"MCMC-Uniform"
250,-0.291664136881325,-0.0685205855671149,0.012275743333918,0.892,0.818,"MCMC-Uniform"
300,-0.291193743473235,-0.0680501921590255,0.00984696817429919,0.944,0.812,"MCMC-Uniform"
350,-0.285626752418258,-0.0624832011040481,0.00979529071106046,0.938,0.786,"MCMC-Uniform"
400,-0.279207829672497,-0.056064278358287,0.00792501112070101,0.962,0.816,"MCMC-Uniform"
450,-0.28303088499011,-0.0598873336759003,0.00715431239983637,0.988,0.794,"MCMC-Uniform"
500,-0.27835208578269,-0.0552085344684807,0.00688454547925303,0.984,0.796,"MCMC-Uniform"
