"N","mean","bias","mse","prob","cover","model"
50,-0.209597468224214,0.0135460830899959,0.0481851491594485,0.122,0.968,"MCMC-Uniform"
100,-0.226609615461295,-0.00346606414708543,0.0234401290167513,0.302,0.948,"MCMC-Uniform"
150,-0.232402471321752,-0.00925892000754232,0.0154769899776559,0.498,0.942,"MCMC-Uniform"
200,-0.218256006302936,0.00488754501127418,0.0108499424370602,0.586,0.938,"MCMC-Uniform"
250,-0.222416296351668,0.000727254962542104,0.0111899689894276,0.666,0.894,"MCMC-Uniform"
300,-0.218002046124048,0.00514150519016195,0.00836837955129683,0.75,0.928,"MCMC-Uniform"
350,-0.211804243447008,0.0113393078672019,0.00868903845405172,0.786,0.858,"MCMC-Uniform"
400,-0.206036609182592,0.0171069421316177,0.0066331515525568,0.812,0.896,"MCMC-Uniform"
450,-0.210538117937553,0.0126054333766571,0.00614259995421796,0.874,0.908,"MCMC-Uniform"
500,-0.213112851864647,0.0100306994495629,0.00584779698689296,0.9,0.882,"MCMC-Uniform"
